state_ut,conventional_sources___thermal,conventional_sources___hydro,conventional_sources___bhutan_import,conventional_sources___nuclear,conventional_sources___conventional_total,renewable_sources___wind,renewable_sources___solar,renewable_sources___bio_power,renewable_sources___small_hydro,renewable_sources___others,renewable_sources___renewable_energy_total,grand_total
Andaman and Nicobar Islands,117.24,0.0,0.0,0.0,117.24,0.0,21.51,0.0,13.26,0.0,34.77,152.01
Andhra Pradesh,55421.08,3113.83,0.0,0.0,58534.91,7134.58,7832.51,177.55,384.08,133.88,15662.61,74197.52
Arunachal Pradesh,0.0,4161.28,0.0,0.0,4161.28,0.0,1.72,0.0,0.41,0.0,2.13,4163.41
Assam,7600.55,676.24,0.0,0.0,8276.79,0.0,81.64,0.0,40.46,0.0,122.1,8398.89
Bhutan,0.0,0.0,7493.2,0.0,7493.2,0.0,0.0,0.0,0.0,0.0,0.0,7493.2
Bihar,43940.4,0.0,0.0,0.0,43940.4,0.0,163.08,67.98,8.77,0.0,239.83,44180.23
Chhattisgarh,140870.87,404.13,0.0,0.0,141275.0,0.0,436.56,1315.98,185.67,0.0,1938.21,143213.21
Delhi,4948.57,0.0,0.0,0.0,4948.57,0.0,225.84,0.0,0.0,232.89,458.73,5407.3
Goa,0.0,0.0,0.0,0.0,0.0,0.0,15.93,0.0,0.0,0.89,16.82,16.82
Gujarat,56922.27,2621.51,0.0,3503.47,63047.25,17854.77,6774.5,18.17,192.1,0.0,24839.53,87886.78
Haryana,22967.73,0.0,0.0,0.0,22967.73,0.0,572.85,268.35,270.13,24.09,1135.42,24103.15
Himachal Pradesh,0.0,36459.64,0.0,0.0,36459.64,0.0,44.29,0.0,1999.47,0.0,2043.76,38503.4
Jammu and Kashmir,0.0,17074.02,0.0,0.0,17074.02,0.0,1.71,0.0,414.1,0.0,415.81,17489.83
Jharkhand,28338.72,547.96,0.0,0.0,28886.68,0.0,18.21,0.0,10.49,0.0,28.71,28915.39
Karnataka,30505.26,13936.46,0.0,7492.05,51933.77,9491.62,13169.43,3512.32,2460.91,0.0,28634.28,80568.05
Kerala,0.0,9317.44,0.0,0.0,9317.44,136.41,496.93,48.92,932.37,0.0,1614.62,10932.06
Ladakh,0.0,405.98,0.0,0.0,405.98,0.0,0.0,0.0,0.0,0.0,0.0,405.98
Madhya Pradesh,129634.45,4686.72,0.0,0.0,134321.17,4346.66,4006.7,107.55,221.43,34.4,8716.73,143037.9
Maharashtra,122610.11,6007.38,0.0,8602.18,137219.67,7085.98,3187.18,4785.1,787.16,0.22,15845.64,153065.31
Manipur,0.0,455.48,0.0,0.0,455.48,0.0,6.72,0.0,0.0,0.0,6.72,462.2
Meghalaya,0.0,841.82,0.0,0.0,841.82,0.0,0.47,0.0,44.21,0.0,44.68,886.5
Mizoram,0.0,137.44,0.0,0.0,137.44,0.0,1.68,0.0,26.41,0.0,28.09,165.53
Nagaland,0.0,100.55,0.0,0.0,100.55,0.0,0.0,0.0,63.47,0.0,63.47,164.02
Odisha,60161.29,5230.63,0.0,0.0,65391.92,0.0,603.71,100.08,377.32,0.0,1081.1,66473.02
Puducherry,251.13,0.0,0.0,0.0,251.13,0.0,12.24,0.0,0.0,0.0,12.24,263.37
Punjab,24175.82,3709.73,0.0,0.0,27885.55,0.0,1473.41,785.14,983.37,0.24,3242.15,31127.7
Rajasthan,51107.41,481.84,0.0,8308.85,59898.1,6493.19,17219.88,378.4,7.85,0.0,24099.31,83997.41
Sikkim,0.0,11493.9,0.0,0.0,11493.9,0.0,0.0,0.0,12.35,0.0,12.35,11506.25
Tamil Nadu,61182.76,5212.07,0.0,15625.26,82020.09,15821.18,7172.88,774.05,293.17,0.0,24061.28,106081.37
Telangana,51550.06,5626.63,0.0,0.0,57176.69,275.69,6536.94,215.07,91.0,227.2,7345.89,64522.58
Tripura,6332.25,0.0,0.0,0.0,6332.25,0.0,6.18,0.0,1.44,0.0,7.62,6339.87
Uttar Pradesh,131847.42,1402.68,0.0,3580.25,136830.35,0.0,2900.41,3245.59,162.54,20.4,6328.94,143159.29
Uttarakhand,1012.32,14332.13,0.0,0.0,15344.45,0.0,301.6,244.02,326.7,0.0,872.32,16216.77
West Bengal,83216.77,3189.84,0.0,0.0,86406.61,0.0,98.24,0.0,152.9,1593.96,1845.09,88251.7
Chandigarh,0.0,0.0,0.0,0.0,0.0,0.0,14.19,0.0,0.0,0.0,14.19,14.19
Dadra and Nagar Haveli and Daman and Diu,0.0,0.0,0.0,0.0,0.0,0.0,84.51,12.32,0.0,0.0,96.83,96.83
